case_code,title,description,scenario_part,method_name,input_json,generated_output_json,expected_notes,tags,is_active
T11,T11. 2 раунда: классификация изображений растений,Кейс согласования темы. Домен: technical_specific. Ожидаемая группа: 2_rounds.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_specific"", ""expected_round_group"": ""2_rounds"", ""student_topic"": ""Классификация изображений растений нейронной сетью"", ""teacher_topic"": ""Исследование режимов адаптации предобученной CNN на наборе PlantVillage"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 2, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Классификация изображений растений нейронной сетью"", ""teacher_topic"": ""Исследование режимов адаптации предобученной CNN на наборе PlantVillage"", ""generated_topic"": {""agreed_title"": ""Классификация изображений растений с помощью нейронной сети"", ""agreed_description"": ""Работа посвящена обучению нейросетевой модели для распознавания классов изображений растений.""}, ""generated_questions"": [""Какой набор данных будет использоваться?"", ""Будет ли сравнение замороженной основы и дообучения?"", ""Какие метрики качества нужны?""]}, {""round_no"": 2, ""student_topic"": ""Классификация изображений PlantVillage с сравнением режимов обучения MobileNetV3"", ""teacher_topic"": ""Исследование режимов адаптации предобученной CNN на наборе PlantVillage"", ""generated_topic"": {""agreed_title"": ""Исследование режимов адаптации предобученной CNN в задаче классификации изображений PlantVillage"", ""agreed_description"": ""Эксперимент сравнивает использование замороженной сверточной основы и частичного дообучения MobileNetV3 на наборе PlantVillage с оценкой accuracy, macro F1 и матрицы ошибок.""}, ""generated_questions"": [""Какие классы PlantVillage входят в выборку?"", ""Какие параметры обучения фиксируются для честного сравнения?""]}]}",{},"Ожидается хороший балл: второй раунд уточняет датасет, архитектуру, режимы адаптации и метрики.","seed, topic, 2_rounds, technical_specific",true
T12,T12. 2 раунда: прогнозирование нефтедобычи,Кейс согласования темы. Домен: technical_specific. Ожидаемая группа: 2_rounds.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_specific"", ""expected_round_group"": ""2_rounds"", ""student_topic"": ""Прогнозирование нефтедобычи с помощью машинного обучения"", ""teacher_topic"": ""Сравнение DCA, градиентного бустинга и нейросетевых моделей для прогноза добычи по временным рядам скважин"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 2, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Прогнозирование нефтедобычи с помощью машинного обучения"", ""teacher_topic"": ""Сравнение DCA, градиентного бустинга и нейросетевых моделей для прогноза добычи по временным рядам скважин"", ""generated_topic"": {""agreed_title"": ""Прогнозирование нефтедобычи методами машинного обучения"", ""agreed_description"": ""Работа предполагает построение модели машинного обучения для прогноза добычи нефти.""}, ""generated_questions"": [""Какие модели нужно сравнить?"", ""Какие признаки и временные ряды используются?"", ""Какими метриками оценивается прогноз?""]}, {""round_no"": 2, ""student_topic"": ""Сравнение DCA, XGBoost и LSTM для прогноза нефтедобычи по временным рядам скважин"", ""teacher_topic"": ""Сравнение DCA, градиентного бустинга и нейросетевых моделей для прогноза добычи по временным рядам скважин"", ""generated_topic"": {""agreed_title"": ""Сравнение DCA, XGBoost и LSTM-моделей для прогнозирования нефтедобычи по временным рядам скважин"", ""agreed_description"": ""Работа включает подготовку временных рядов добычи, построение базовой DCA-модели, моделей XGBoost и LSTM, сравнение MAE и RMSE и анализ ограничений прогноза.""}, ""generated_questions"": [""Какой горизонт прогнозирования будет использоваться?"", ""Как будет организовано разделение train/test по времени?""]}]}",{},"Ожидается хороший балл: второй раунд добавляет конкретные модели, временной ряд и метрики.","seed, topic, 2_rounds, technical_specific",true
T13,T13. 3+ раунда: широкая тема ИИ в образовании,Кейс согласования темы. Домен: technical_specific. Ожидаемая группа: 3_plus_rounds.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_specific"", ""expected_round_group"": ""3_plus_rounds"", ""student_topic"": ""Искусственный интеллект в образовании"", ""teacher_topic"": ""Разработка и оценка NLP-модуля автоматической проверки коротких ответов студентов"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 3, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Искусственный интеллект в образовании"", ""teacher_topic"": ""Разработка и оценка NLP-модуля автоматической проверки коротких ответов студентов"", ""generated_topic"": {""agreed_title"": ""Применение искусственного интеллекта в образовании"", ""agreed_description"": ""Работа описывает возможности искусственного интеллекта в образовательной сфере.""}, ""generated_questions"": [""Какую образовательную задачу нужно решить?"", ""Нужен ли программный модуль или только обзор?""]}, {""round_no"": 2, ""student_topic"": ""ИИ для проверки ответов студентов"", ""teacher_topic"": ""Разработка и оценка NLP-модуля автоматической проверки коротких ответов студентов"", ""generated_topic"": {""agreed_title"": ""Разработка системы проверки ответов студентов"", ""agreed_description"": ""Система должна помогать преподавателю проверять ответы студентов.""}, ""generated_questions"": [""Ответы будут короткими или развернутыми?"", ""Какие метрики оценки качества нужны?"", ""Какой набор данных будет использован?""]}, {""round_no"": 3, ""student_topic"": ""NLP-модуль автоматической проверки коротких ответов студентов с оценкой качества моделей"", ""teacher_topic"": ""Разработка и оценка NLP-модуля автоматической проверки коротких ответов студентов"", ""generated_topic"": {""agreed_title"": ""Разработка и оценка NLP-модуля автоматической проверки коротких ответов студентов"", ""agreed_description"": ""Работа включает подготовку набора коротких ответов, обучение моделей классификации, расчет accuracy, macro F1 и quadratic weighted kappa, а также демонстрацию прототипа проверки.""}, ""generated_questions"": [""Какие шкалы оценивания будут использоваться?"", ""Какие ограничения автоматической проверки нужно описать?""]}]}",{},"Ожидается средне-высокий балл с понижением за длительный путь: первый раунд слишком широкий, согласование достигнуто только к третьему раунду.","seed, topic, 3_plus_rounds, technical_specific",true
T14,T14. 3+ раунда: конфликт мобильной игры и базы заявок,Кейс согласования темы. Домен: technical_general. Ожидаемая группа: 3_plus_rounds.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_general"", ""expected_round_group"": ""3_plus_rounds"", ""student_topic"": ""Разработка мобильной игры для обучения программированию"", ""teacher_topic"": ""Создание базы данных и веб-интерфейса для учета заявок пользователей службы поддержки"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 3, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Разработка мобильной игры для обучения программированию"", ""teacher_topic"": ""Создание базы данных и веб-интерфейса для учета заявок пользователей службы поддержки"", ""generated_topic"": {""agreed_title"": ""Разработка мобильной игры с базой данных заявок"", ""agreed_description"": ""Работа объединяет мобильную игру и учет заявок пользователей.""}, ""generated_questions"": [""Что является главным результатом: игра или система заявок?"", ""Какие пользователи должны работать с системой?""]}, {""round_no"": 2, ""student_topic"": ""Учебное приложение с поддержкой заявок пользователей"", ""teacher_topic"": ""Создание базы данных и веб-интерфейса для учета заявок пользователей службы поддержки"", ""generated_topic"": {""agreed_title"": ""Разработка приложения для обучения программированию и регистрации заявок"", ""agreed_description"": ""Приложение содержит учебные задания и форму обращения в поддержку.""}, ""generated_questions"": [""Нужно ли сохранять учебный игровой сценарий?"", ""Какие статусы заявок и роли пользователей нужны?""]}, {""round_no"": 3, ""student_topic"": ""Веб-приложение для регистрации заявок пользователей учебного сервиса"", ""teacher_topic"": ""Создание базы данных и веб-интерфейса для учета заявок пользователей службы поддержки"", ""generated_topic"": {""agreed_title"": ""Разработка веб-интерфейса и базы данных для учета заявок пользователей учебного сервиса"", ""agreed_description"": ""Итоговая работа фокусируется на регистрации обращений пользователей, хранении заявок в базе данных, изменении статусов сотрудником поддержки и просмотре истории обработки.""}, ""generated_questions"": [""Какие поля заявки являются обязательными?"", ""Нужно ли разграничение прав пользователя и сотрудника поддержки?""]}]}",{},"Ожидается средний или средне-высокий балл: конфликт предметной области устранен, но только после нескольких уточнений.","seed, topic, 3_plus_rounds, technical_general",true
T15,T15. 3+ раунда: конфликт парковки и OCR,Кейс согласования темы. Домен: technical_specific. Ожидаемая группа: 3_plus_rounds.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_specific"", ""expected_round_group"": ""3_plus_rounds"", ""student_topic"": ""Обнаружение свободных парковочных мест на изображениях"", ""teacher_topic"": ""Разработка OCR-системы для распознавания текста в сканах документов"", ""max_rounds"": 3, ""finalized"": false, ""finalized_round"": null, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Обнаружение свободных парковочных мест на изображениях"", ""teacher_topic"": ""Разработка OCR-системы для распознавания текста в сканах документов"", ""generated_topic"": {""agreed_title"": ""Компьютерное зрение для анализа изображений"", ""agreed_description"": ""Работа посвящена обработке изображений и применению нейросетевых методов.""}, ""generated_questions"": [""Нужно распознавать парковочные места или текст документов?"", ""Какие данные будут использоваться?""]}, {""round_no"": 2, ""student_topic"": ""Детекция парковочных мест и OCR документов"", ""teacher_topic"": ""Разработка OCR-системы для распознавания текста в сканах документов"", ""generated_topic"": {""agreed_title"": ""Разработка системы анализа изображений парковок и документов"", ""agreed_description"": ""Система должна анализировать изображения парковок и сканы документов.""}, ""generated_questions"": [""Можно ли ограничить работу только OCR-задачей?"", ""Какой результат должен быть представлен в приложении?""]}, {""round_no"": 3, ""student_topic"": ""Система компьютерного зрения для парковок"", ""teacher_topic"": ""Разработка OCR-системы для распознавания текста в сканах документов"", ""generated_topic"": {""agreed_title"": ""Разработка системы компьютерного зрения для обработки изображений"", ""agreed_description"": ""Работа объединяет разные задачи анализа изображений без уточнения единого результата.""}, ""generated_questions"": [""Какая задача является основной?"", ""Какие метрики качества нужно использовать?""]}]}",{},"Ожидается сниженная оценка: предметные области конфликтуют, согласованный результат не достигнут за три раунда.","seed, topic, 3_plus_rounds, technical_specific",true
D01,D01. качественные вопросы по модулю заказов интернет-магазина,Кейс генерации вопросов для защиты. Домен: technical_general.,defense_questions,build_question_pool,"{""domain"": ""technical_general"", ""topic"": ""Разработка веб-модуля управления заказами интернет-магазина"", ""work_context"": ""В работе описаны роли покупателя и администратора, база данных товаров и заказов, статусы заказа, оформление покупки, административная панель и проверка корректности изменения остатков."", ""acceptance_criteria"": [""оформление заказа"", ""хранение товаров и заказов"", ""изменение статусов"", ""учет остатков"", ""права покупателя и администратора""]}","{""generated_questions"": [""Почему для хранения заказов была выбрана реляционная база данных?"", ""Какие таблицы входят в структуру базы данных и как они связаны между собой?"", ""Как в системе изменяется статус заказа и кто имеет право выполнять это действие?"", ""Как проверяется корректность уменьшения складского остатка после оформления заказа?"", ""Какие ограничения реализации могут проявиться при росте числа заказов?"", ""Какие метрики или сценарии тестирования подтверждают работоспособность модуля?""]}","Ожидается высокий балл: вопросы связаны с темой, реализацией, данными, качеством и ограничениями.","seed, defense, technical_general",true
D02,D02. слабые общие вопросы по защите,Кейс генерации вопросов для защиты. Домен: universal.,defense_questions,build_question_pool,"{""domain"": ""universal"", ""topic"": ""Разработка веб-приложения для регистрации заявок пользователей"", ""work_context"": ""В работе описаны пользовательские заявки, роли пользователя и сотрудника поддержки, статусы обработки, база данных и веб-интерфейс."", ""acceptance_criteria"": [""регистрация заявки"", ""смена статусов"", ""ролевая модель"", ""хранение истории обработки""]}","{""generated_questions"": [""Расскажите, что находится в вашей работе?"", ""Что вы сделали?"", ""Почему ваша работа хорошая?"", ""Расскажите подробнее?"", ""Что вы сделали?"", ""Какие выводы можно сделать?""]}","Ожидается низкий балл: вопросы общие, часть повторяется, слабо проверяется понимание реализации.","seed, defense, universal, bad",true
D03,D03. смешанные вопросы по диагностике сети,Кейс генерации вопросов для защиты. Домен: technical_general.,defense_questions,build_question_pool,"{""domain"": ""technical_general"", ""topic"": ""Разработка гибридного приложения для диагностики аппаратных компонентов компьютерной сети"", ""work_context"": ""Работа описывает сбор параметров сетевых устройств, сохранение результатов диагностики, локальный интерфейс, веб-панель и журнал проверок."", ""acceptance_criteria"": [""сбор параметров"", ""журнал диагностики"", ""десктопный и веб-интерфейс"", ""обработка ошибок соединения""]}","{""generated_questions"": [""Какие параметры сетевых устройств собирает приложение?"", ""Как результаты диагностики сохраняются в журнале проверок?"", ""Почему выбран гибридный формат приложения с десктопной и веб-частью?"", ""Что находится в вашей работе?"", ""Какие ошибки соединения обрабатываются при диагностике?"", ""Как можно проверить корректность диагностического вывода?""]}","Ожидается средний или средне-высокий балл: большинство вопросов полезны, но один вопрос слишком общий.","seed, defense, technical_general, mixed",true
D04,D04. вопросы по гуманитарной исследовательской работе,Кейс генерации вопросов для защиты. Домен: humanitarian.,defense_questions,build_question_pool,"{""domain"": ""humanitarian"", ""topic"": ""Анализ применения искусственного интеллекта для повышения эффективности таргетированной рекламы в социальных сетях"", ""work_context"": ""Работа содержит обзор ИИ-инструментов сегментации аудитории, анализ метрик эффективности рекламных кампаний, сравнение подходов к таргетингу и описание этических ограничений."", ""acceptance_criteria"": [""актуальность"", ""источники"", ""метрики эффективности"", ""ограничения и риски"", ""выводы исследования""]}","{""generated_questions"": [""В чем состоит практическая значимость применения ИИ в таргетированной рекламе?"", ""Какие показатели эффективности рекламных кампаний использовались для анализа?"", ""Какие источники позволили сравнить традиционный и ИИ-ориентированный таргетинг?"", ""Какие этические и правовые ограничения возникают при автоматизированной сегментации аудитории?"", ""Почему выбранные примеры социальных сетей можно считать показательными для исследования?"", ""Какие выводы работы могут быть полезны для управления рекламной кампанией?""]}","Ожидается высокий балл для гуманитарного домена: вопросы проверяют актуальность, источники, методы анализа, ограничения и выводы.","seed, defense, humanitarian",true
D05,D05. вопросы по ML-проекту распознавания дефектов,Кейс генерации вопросов для защиты. Домен: technical_specific.,defense_questions,build_question_pool,"{""domain"": ""technical_specific"", ""topic"": ""Обнаружение дефектов печатных плат методами компьютерного зрения"", ""work_context"": ""В работе реализованы бинарный классификатор MobileNetV3, детектор YOLOv8, подготовка синтетических отрицательных примеров, расчет precision, recall, F1 и демонстрация Streamlit-приложения."", ""acceptance_criteria"": [""подготовка датасета"", ""классификатор MobileNetV3"", ""детектор YOLOv8"", ""метрики качества"", ""ограничения модели"", ""демонстрационное приложение""]}","{""generated_questions"": [""Почему в работе используются и классификатор MobileNetV3, и детектор YOLOv8?"", ""Как формировались отрицательные примеры и какие риски связаны с синтетическими данными?"", ""Какие метрики качества наиболее важны для задачи обнаружения дефектов печатных плат?"", ""Как интерпретировать различие между precision и recall в этой задаче?"", ""Какие ограничения возникнут при переносе модели на реальные изображения с другого оборудования?"", ""Как Streamlit-приложение использует сохраненные веса моделей при инференсе?""]}","Ожидается высокий балл: вопросы связаны с данными, моделями, метриками, ограничениями и приложением.","seed, defense, technical_specific",true
